start_id,end_id,confidence,source
SUB_004,STG_004_001,1.0,expansion_patch_2026-05-12
SUB_004,STG_004_002,1.0,expansion_patch_2026-05-12
SUB_004,STG_004_003,1.0,expansion_patch_2026-05-12
SUB_004,STG_004_004,1.0,expansion_patch_2026-05-12
SUB_004,STG_004_005,1.0,expansion_patch_2026-05-12
SUB_004,STG_004_006,1.0,expansion_patch_2026-05-12
SUB_004,STG_004_007,1.0,expansion_patch_2026-05-12
SUB_004,STG_004_008,1.0,expansion_patch_2026-05-12
SUB_004,STG_004_009,1.0,expansion_patch_2026-05-12
SUB_004,STG_004_010,1.0,expansion_patch_2026-05-12
SUB_005,STG_005_001,1.0,expansion_patch_2026-05-12
SUB_005,STG_005_002,1.0,expansion_patch_2026-05-12
SUB_005,STG_005_003,1.0,expansion_patch_2026-05-12
SUB_005,STG_005_004,1.0,expansion_patch_2026-05-12
SUB_005,STG_005_005,1.0,expansion_patch_2026-05-12
SUB_005,STG_005_006,1.0,expansion_patch_2026-05-12
SUB_005,STG_005_007,1.0,expansion_patch_2026-05-12
SUB_005,STG_005_008,1.0,expansion_patch_2026-05-12
SUB_006,STG_006_001,1.0,expansion_patch_2026-05-12
SUB_006,STG_006_002,1.0,expansion_patch_2026-05-12
SUB_006,STG_006_003,1.0,expansion_patch_2026-05-12
SUB_006,STG_006_004,1.0,expansion_patch_2026-05-12
SUB_006,STG_006_005,1.0,expansion_patch_2026-05-12
SUB_006,STG_006_006,1.0,expansion_patch_2026-05-12
